able	할 수 있는
hunter	사냥군
hurray	만세
hurry	서두르다
hurt	상처를 입히다
husband	남편
hut	오두막집
hydrogen	수소
iceberg	빙산
idea	생각, 이념
imagine	상상하다
immediately	곧, 즉시
import	수입하다
important	중요한
include	포함하다
increase	증가하다
indeed	참으로
independent	독립의
industrial	산업의, 공업의
information	정보, 통지
inner	안쪽의
insect	곤충
instead	대신에
instrument	기구, 도구
interest	이익, 흥미, 이자
interesting	재미있는
international	국제적인
intimate	친밀한
introduce	소개하다, 도입하다
invader	침입자
invent	발명하다
invite	초대하다
ivy	담쟁이 덩굴
jar	항아리
jeans	청바지
jewel	보석
job	직업, 일
join	결합하다, 참가하다
joke	농담
journey	여행
joy	기쁨
judge	재판관, 판단하다
junior	후배, 손아래의
kind	친절한, 종류
kindergarten	유치원
knee	무릎
label	꼬리표, 상표
lamb	새끼양
language	언어
lantern	랜턴
later	나중에
laundry	세탁소, 세탁물
lay	~을 놓다, 눕히다
lead	이끌다, 인도하다
leak	새다
leap	뛰다
least	최소한의, 가장 적은
lend	빌려주다
lesson	학과, 교훈
letter	편지, 글자
liberty	자유
library	도서관
license	면허
life	생명, 생활
lift	들어올리다
limit	제한, 제한하다
list	명단
living room	거실
load	짐, 부담
loaf	빵 한 덩어리
locate	위치하다
lock	자물쇠, 자물쇠를 채우다
log	통나무
lonely	고독한
lose	잃다, 지다
loud	목소리가 큰, 시끄러운
low	낮은, 낮게
luck	행운
machine	기계
magazine	잡지
main	주요한
mammal	포유동물
mankind	인류
marble	대리석
march	행진, 행진하다
marry	결혼하다
mars	화성
master	주인, 정복하다
match	시합, ~에 필적하다
math	수학
matter	문제, 중요하다
maybe	아마
mayor	시장
meat	고기
memory	기억
mention	말하다
merchant	상인
merry	즐거운
metal	금속
method	방법
might	힘
mild	온화한
mile	마일
million	백만
mind	마음, 꺼리다
miss	놓치다, 그리워하다
mistake	잘못, 잘못알다
modern	현대의
moment	순간
monk 	승려
monument	기념비
mostly	대개는
mouse	생쥐
museum	박물관
musician	음악가
mystery	신비, 불가사리
nail	손톱, 못
nation	국가
nature	자연
navy	해군
nearly	거의
necessary	필요한
need	필요로 하다
neighbor	이웃
neither	어느쪽도 아니다
nephew	조카
nickname	별명, 애칭
niece	조카딸
noble	고귀한
nod	끄덕이다
noise	소음
none	아무도 ~않다
normal	보통의
nuclear	핵의
nurse	간호사
oath	맹세, 선서
obey	복종하다
object	사물,목적,반대하다
obtain	얻다
occur	발생하다
ocean	대양
offer	제공하다
office	사무실
officer	장교, 공무원
once	한번, 한때
operator	교환수, 조작자
opinion	의견
order	순서, 명령
ostrich	타조
otherwise	그렇지 않으면
overhear	엿듣다
owe	신세지다, 빚지다
owl	올빼미
own	자기자신의, 소유하다
pair	한 쌍
pal	친구
palace	궁전
parade	행렬
pardon	용서
pass	기나가다, 합격하다
passenger	승객
passport	여권
past	과거의, ~을 지나서
patient	환자, 참을성 있는
pause	중지, 멈추다
peaceful	평화로운
pepper	후추
perhaps	아마
pet	애완동물
petal	꽃잎
photographer	사진사
pick	고르다, 줍다
piece	한 조각
pigeon	비둘기
pilgrim	순례자
pill	알약
pilot	조종사
pitch	던지다
plane	비행기
planet	행성
plant	식물, 심다, 공장
plate	접시
pleasant	기분좋은, 유쾌한
plenty	풍부, 많은
poet	시인
politely	공손히, 예의바르게
pollution	오염
pop	평하고 소리나다, 대중음악
popular	인기있는
population	인구
port	항구
possible	가능한
post	우편, 우편물
potato	감자
powder	가루, 화약
practice	연습, 관습, 실행
prairie	대초원
pray	기도하다
precious	귀중한
prepare	준비하다
present	현재, 선물, 주다
president	대통령, 장
press	누르다
pretend	~인 체하다
pretty	예쁜, 상당히
price	값, 가격
primary	제1의, 주요한
prince	왕자
principal	중요한, 교장
prison	감옥
private	개인의
prize	상, 상품
probably	아마
problem	문제
produce	생산하다
project	계획, 투영하다
promise	약속, 전망
pronunciation	발음
properly	적당히, 올바르게
protect	보호하다
proud	자랑스러운
prove	증명하다
proverb	속담
public	공공의, 공중의
pull	잡아당기다, 끌다
pulse	맥박
pumpkin	호박
puritan	청교도
purpose	목적
push	밀다
puzzle	퍼즐, 당혹하게 하다
quarter	4분의 1, 15분
quiet	조용한
quite	꽤, 완전히
race	경주, 인종
raise	들어 올리다
rapidly	빨리, 신속히
rat	쥐, 들쥐
rate	비율, 평가하다
rather	오히려, 얼마간
reach	도달하다
rear	뒤쪽, 기르다
reason	이성, 이유
receive	받다
